id,domain,prompt
14,logical_reasoning,"Given premises about a manifold, derive a contradiction test and project the conclusion for a kernel with contrastive supervision. [benchmark_id=logical_reasoning_014]"
15,logical_reasoning,"Given premises about a embedding, derive a contradiction test and align the conclusion for a manifold across two scales. [benchmark_id=logical_reasoning_015]"
16,logical_reasoning,"Given premises about a distance matrix, derive a contradiction test and cluster the conclusion for a basis with bounded curvature. [benchmark_id=logical_reasoning_016]"
17,logical_reasoning,"Given premises about a coordinate frame, derive a contradiction test and project the conclusion for a geodesic with sparse observations. [benchmark_id=logical_reasoning_017]"
18,logical_reasoning,"Given premises about a basis, derive a contradiction test and transform the conclusion for a coordinate frame across two scales. [benchmark_id=logical_reasoning_018]"
19,logical_reasoning,"Given premises about a vector field, derive a contradiction test and cluster the conclusion for a distance matrix with bounded curvature. [benchmark_id=logical_reasoning_019]"
20,logical_reasoning,"Given premises about a trajectory, derive a contradiction test and cluster the conclusion for a polytope with sparse observations. [benchmark_id=logical_reasoning_020]"
21,logical_reasoning,"Given premises about a kernel, derive a contradiction test and interpolate the conclusion for a vector field across two scales. [benchmark_id=logical_reasoning_021]"
22,logical_reasoning,"Given premises about a polytope, derive a contradiction test and stabilize the conclusion for a latent map with sparse observations. [benchmark_id=logical_reasoning_022]"
23,logical_reasoning,"Given premises about a basis, derive a contradiction test and project the conclusion for a operator with sparse observations. [benchmark_id=logical_reasoning_023]"
24,logical_reasoning,"Given premises about a distance matrix, derive a contradiction test and optimize the conclusion for a tensor under noisy measurements. [benchmark_id=logical_reasoning_024]"
25,logical_reasoning,"Given premises about a latent map, derive a contradiction test and interpolate the conclusion for a vector field with bounded curvature. [benchmark_id=logical_reasoning_025]"
26,logical_reasoning,"Given premises about a graph, derive a contradiction test and stabilize the conclusion for a basis under noisy measurements. [benchmark_id=logical_reasoning_026]"
27,logical_reasoning,"Given premises about a kernel, derive a contradiction test and decompose the conclusion for a coordinate frame across two scales. [benchmark_id=logical_reasoning_027]"
28,logical_reasoning,"Given premises about a distance matrix, derive a contradiction test and transform the conclusion for a tensor under noisy measurements. [benchmark_id=logical_reasoning_028]"
29,logical_reasoning,"Given premises about a graph, derive a contradiction test and decompose the conclusion for a geodesic under noisy measurements. [benchmark_id=logical_reasoning_029]"
30,logical_reasoning,"Given premises about a basis, derive a contradiction test and normalize the conclusion for a coordinate frame across two scales. [benchmark_id=logical_reasoning_030]"
31,logical_reasoning,"Given premises about a geodesic, derive a contradiction test and normalize the conclusion for a geodesic with bounded curvature. [benchmark_id=logical_reasoning_031]"
32,logical_reasoning,"Given premises about a embedding, derive a contradiction test and optimize the conclusion for a geodesic across two scales. [benchmark_id=logical_reasoning_032]"
33,logical_reasoning,"Given premises about a geodesic, derive a contradiction test and transform the conclusion for a geodesic with bounded curvature. [benchmark_id=logical_reasoning_033]"
34,logical_reasoning,"Given premises about a polytope, derive a contradiction test and align the conclusion for a kernel with sparse observations. [benchmark_id=logical_reasoning_034]"
35,logical_reasoning,"Given premises about a embedding, derive a contradiction test and decompose the conclusion for a embedding under rotational invariance. [benchmark_id=logical_reasoning_035]"
36,logical_reasoning,"Given premises about a graph, derive a contradiction test and perturb the conclusion for a operator with bounded curvature. [benchmark_id=logical_reasoning_036]"
37,logical_reasoning,"Given premises about a graph, derive a contradiction test and interpolate the conclusion for a distance matrix under rotational invariance. [benchmark_id=logical_reasoning_037]"
38,logical_reasoning,"Given premises about a manifold, derive a contradiction test and compare the conclusion for a latent map under fixed token budget. [benchmark_id=logical_reasoning_038]"
39,logical_reasoning,"Given premises about a embedding, derive a contradiction test and optimize the conclusion for a embedding with sparse observations. [benchmark_id=logical_reasoning_039]"
40,logical_reasoning,"Given premises about a coordinate frame, derive a contradiction test and factorize the conclusion for a latent map under noisy measurements. [benchmark_id=logical_reasoning_040]"
41,logical_reasoning,"Given premises about a basis, derive a contradiction test and decompose the conclusion for a projection while preserving neighborhood topology. [benchmark_id=logical_reasoning_041]"
42,logical_reasoning,"Given premises about a embedding, derive a contradiction test and project the conclusion for a basis with sparse observations. [benchmark_id=logical_reasoning_042]"
43,logical_reasoning,"Given premises about a latent map, derive a contradiction test and stabilize the conclusion for a trajectory across two scales. [benchmark_id=logical_reasoning_043]"
44,logical_reasoning,"Given premises about a kernel, derive a contradiction test and compare the conclusion for a embedding across two scales. [benchmark_id=logical_reasoning_044]"
45,logical_reasoning,"Given premises about a operator, derive a contradiction test and optimize the conclusion for a geodesic under noisy measurements. [benchmark_id=logical_reasoning_045]"
46,logical_reasoning,"Given premises about a tensor, derive a contradiction test and stabilize the conclusion for a embedding with sparse observations. [benchmark_id=logical_reasoning_046]"
47,logical_reasoning,"Given premises about a operator, derive a contradiction test and project the conclusion for a geodesic while preserving neighborhood topology. [benchmark_id=logical_reasoning_047]"
48,logical_reasoning,"Given premises about a polytope, derive a contradiction test and factorize the conclusion for a tensor under noisy measurements. [benchmark_id=logical_reasoning_048]"
49,logical_reasoning,"Given premises about a basis, derive a contradiction test and factorize the conclusion for a graph across two scales. [benchmark_id=logical_reasoning_049]"
50,logical_reasoning,"Given premises about a kernel, derive a contradiction test and normalize the conclusion for a distance matrix while preserving neighborhood topology. [benchmark_id=logical_reasoning_050]"
51,logical_reasoning,"Given premises about a latent map, derive a contradiction test and transform the conclusion for a geodesic while preserving neighborhood topology. [benchmark_id=logical_reasoning_051]"
52,logical_reasoning,"Given premises about a geodesic, derive a contradiction test and perturb the conclusion for a coordinate frame across two scales. [benchmark_id=logical_reasoning_052]"
53,logical_reasoning,"Given premises about a tensor, derive a contradiction test and compare the conclusion for a embedding under fixed token budget. [benchmark_id=logical_reasoning_053]"
54,logical_reasoning,"Given premises about a coordinate frame, derive a contradiction test and stabilize the conclusion for a tensor while preserving neighborhood topology. [benchmark_id=logical_reasoning_054]"
55,logical_reasoning,"Given premises about a operator, derive a contradiction test and compare the conclusion for a trajectory under noisy measurements. [benchmark_id=logical_reasoning_055]"
56,logical_reasoning,"Given premises about a polytope, derive a contradiction test and decompose the conclusion for a latent map under noisy measurements. [benchmark_id=logical_reasoning_056]"
57,logical_reasoning,"Given premises about a geodesic, derive a contradiction test and project the conclusion for a polytope with contrastive supervision. [benchmark_id=logical_reasoning_057]"
58,logical_reasoning,"Given premises about a tensor, derive a contradiction test and transform the conclusion for a latent map with bounded curvature. [benchmark_id=logical_reasoning_058]"
59,logical_reasoning,"Given premises about a coordinate frame, derive a contradiction test and interpolate the conclusion for a embedding under rotational invariance. [benchmark_id=logical_reasoning_059]"
60,logical_reasoning,"Given premises about a projection, derive a contradiction test and normalize the conclusion for a embedding under fixed token budget. [benchmark_id=logical_reasoning_060]"
61,logical_reasoning,"Given premises about a kernel, derive a contradiction test and compare the conclusion for a tensor while preserving neighborhood topology. [benchmark_id=logical_reasoning_061]"
62,logical_reasoning,"Given premises about a distance matrix, derive a contradiction test and cluster the conclusion for a latent map under fixed token budget. [benchmark_id=logical_reasoning_062]"
63,logical_reasoning,"Given premises about a coordinate frame, derive a contradiction test and cluster the conclusion for a kernel with sparse observations. [benchmark_id=logical_reasoning_063]"
64,logical_reasoning,"Given premises about a embedding, derive a contradiction test and normalize the conclusion for a basis with sparse observations. [benchmark_id=logical_reasoning_064]"
65,logical_reasoning,"Given premises about a geodesic, derive a contradiction test and project the conclusion for a kernel with contrastive supervision. [benchmark_id=logical_reasoning_065]"
66,logical_reasoning,"Given premises about a vector field, derive a contradiction test and perturb the conclusion for a polytope under fixed token budget. [benchmark_id=logical_reasoning_066]"
67,logical_reasoning,"Given premises about a embedding, derive a contradiction test and optimize the conclusion for a vector field with bounded curvature. [benchmark_id=logical_reasoning_067]"
68,logical_reasoning,"Given premises about a coordinate frame, derive a contradiction test and align the conclusion for a embedding under rotational invariance. [benchmark_id=logical_reasoning_068]"
69,logical_reasoning,"Given premises about a coordinate frame, derive a contradiction test and compare the conclusion for a latent map under fixed token budget. [benchmark_id=logical_reasoning_069]"
70,logical_reasoning,"Given premises about a operator, derive a contradiction test and stabilize the conclusion for a tensor while preserving neighborhood topology. [benchmark_id=logical_reasoning_070]"
71,logical_reasoning,"Given premises about a geodesic, derive a contradiction test and optimize the conclusion for a distance matrix with sparse observations. [benchmark_id=logical_reasoning_071]"
72,logical_reasoning,"Given premises about a coordinate frame, derive a contradiction test and decompose the conclusion for a trajectory with contrastive supervision. [benchmark_id=logical_reasoning_072]"
73,logical_reasoning,"Given premises about a polytope, derive a contradiction test and stabilize the conclusion for a polytope under noisy measurements. [benchmark_id=logical_reasoning_073]"
74,logical_reasoning,"Given premises about a manifold, derive a contradiction test and optimize the conclusion for a operator across two scales. [benchmark_id=logical_reasoning_074]"
75,logical_reasoning,"Given premises about a vector field, derive a contradiction test and project the conclusion for a embedding while preserving neighborhood topology. [benchmark_id=logical_reasoning_075]"
76,logical_reasoning,"Given premises about a basis, derive a contradiction test and align the conclusion for a geodesic under fixed token budget. [benchmark_id=logical_reasoning_076]"
77,logical_reasoning,"Given premises about a latent map, derive a contradiction test and cluster the conclusion for a distance matrix under fixed token budget. [benchmark_id=logical_reasoning_077]"
78,logical_reasoning,"Given premises about a latent map, derive a contradiction test and compare the conclusion for a basis under noisy measurements. [benchmark_id=logical_reasoning_078]"
79,logical_reasoning,"Given premises about a trajectory, derive a contradiction test and transform the conclusion for a manifold under noisy measurements. [benchmark_id=logical_reasoning_079]"
80,logical_reasoning,"Given premises about a manifold, derive a contradiction test and compare the conclusion for a coordinate frame under fixed token budget. [benchmark_id=logical_reasoning_080]"
81,logical_reasoning,"Given premises about a polytope, derive a contradiction test and align the conclusion for a graph with bounded curvature. [benchmark_id=logical_reasoning_081]"
82,logical_reasoning,"Given premises about a projection, derive a contradiction test and transform the conclusion for a projection with contrastive supervision. [benchmark_id=logical_reasoning_082]"
83,logical_reasoning,"Given premises about a operator, derive a contradiction test and optimize the conclusion for a embedding with contrastive supervision. [benchmark_id=logical_reasoning_083]"
84,logical_reasoning,"Given premises about a latent map, derive a contradiction test and normalize the conclusion for a trajectory under rotational invariance. [benchmark_id=logical_reasoning_084]"
85,logical_reasoning,"Given premises about a coordinate frame, derive a contradiction test and stabilize the conclusion for a tensor with bounded curvature. [benchmark_id=logical_reasoning_085]"
86,logical_reasoning,"Given premises about a projection, derive a contradiction test and interpolate the conclusion for a operator under fixed token budget. [benchmark_id=logical_reasoning_086]"
87,logical_reasoning,"Given premises about a tensor, derive a contradiction test and compare the conclusion for a basis across two scales. [benchmark_id=logical_reasoning_087]"
88,logical_reasoning,"Given premises about a trajectory, derive a contradiction test and project the conclusion for a trajectory with bounded curvature. [benchmark_id=logical_reasoning_088]"
89,logical_reasoning,"Given premises about a kernel, derive a contradiction test and align the conclusion for a basis across two scales. [benchmark_id=logical_reasoning_089]"
90,logical_reasoning,"Given premises about a geodesic, derive a contradiction test and decompose the conclusion for a tensor while preserving neighborhood topology. [benchmark_id=logical_reasoning_090]"
91,logical_reasoning,"Given premises about a geodesic, derive a contradiction test and stabilize the conclusion for a graph under rotational invariance. [benchmark_id=logical_reasoning_091]"
92,logical_reasoning,"Given premises about a embedding, derive a contradiction test and interpolate the conclusion for a coordinate frame while preserving neighborhood topology. [benchmark_id=logical_reasoning_092]"
93,logical_reasoning,"Given premises about a coordinate frame, derive a contradiction test and interpolate the conclusion for a coordinate frame under rotational invariance. [benchmark_id=logical_reasoning_093]"
94,logical_reasoning,"Given premises about a latent map, derive a contradiction test and compare the conclusion for a basis with contrastive supervision. [benchmark_id=logical_reasoning_094]"
95,logical_reasoning,"Given premises about a trajectory, derive a contradiction test and normalize the conclusion for a embedding with sparse observations. [benchmark_id=logical_reasoning_095]"
96,logical_reasoning,"Given premises about a geodesic, derive a contradiction test and optimize the conclusion for a manifold with sparse observations. [benchmark_id=logical_reasoning_096]"
97,logical_reasoning,"Given premises about a basis, derive a contradiction test and cluster the conclusion for a tensor with bounded curvature. [benchmark_id=logical_reasoning_097]"
98,logical_reasoning,"Given premises about a kernel, derive a contradiction test and normalize the conclusion for a latent map under noisy measurements. [benchmark_id=logical_reasoning_098]"
99,logical_reasoning,"Given premises about a trajectory, derive a contradiction test and optimize the conclusion for a tensor across two scales. [benchmark_id=logical_reasoning_099]"
100,logical_reasoning,"Given premises about a manifold, derive a contradiction test and transform the conclusion for a trajectory under fixed token budget. [benchmark_id=logical_reasoning_100]"
101,logical_reasoning,"Given premises about a kernel, derive a contradiction test and factorize the conclusion for a embedding while preserving neighborhood topology. [benchmark_id=logical_reasoning_101]"
102,logical_reasoning,"Given premises about a graph, derive a contradiction test and factorize the conclusion for a trajectory under fixed token budget. [benchmark_id=logical_reasoning_102]"
103,logical_reasoning,"Given premises about a polytope, derive a contradiction test and compare the conclusion for a kernel with bounded curvature. [benchmark_id=logical_reasoning_103]"
104,logical_reasoning,"Given premises about a coordinate frame, derive a contradiction test and factorize the conclusion for a kernel with sparse observations. [benchmark_id=logical_reasoning_104]"
105,logical_reasoning,"Given premises about a basis, derive a contradiction test and normalize the conclusion for a operator while preserving neighborhood topology. [benchmark_id=logical_reasoning_105]"
106,logical_reasoning,"Given premises about a embedding, derive a contradiction test and perturb the conclusion for a manifold with bounded curvature. [benchmark_id=logical_reasoning_106]"
107,logical_reasoning,"Given premises about a trajectory, derive a contradiction test and decompose the conclusion for a projection with bounded curvature. [benchmark_id=logical_reasoning_107]"
108,logical_reasoning,"Given premises about a kernel, derive a contradiction test and factorize the conclusion for a vector field under noisy measurements. [benchmark_id=logical_reasoning_108]"
109,logical_reasoning,"Given premises about a operator, derive a contradiction test and compare the conclusion for a coordinate frame with bounded curvature. [benchmark_id=logical_reasoning_109]"
110,logical_reasoning,"Given premises about a geodesic, derive a contradiction test and align the conclusion for a kernel with bounded curvature. [benchmark_id=logical_reasoning_110]"
111,logical_reasoning,"Given premises about a trajectory, derive a contradiction test and perturb the conclusion for a distance matrix across two scales. [benchmark_id=logical_reasoning_111]"
112,logical_reasoning,"Given premises about a embedding, derive a contradiction test and normalize the conclusion for a latent map under noisy measurements. [benchmark_id=logical_reasoning_112]"
113,logical_reasoning,"Given premises about a kernel, derive a contradiction test and cluster the conclusion for a tensor while preserving neighborhood topology. [benchmark_id=logical_reasoning_113]"
114,logical_reasoning,"Given premises about a geodesic, derive a contradiction test and factorize the conclusion for a distance matrix across two scales. [benchmark_id=logical_reasoning_114]"
115,logical_reasoning,"Given premises about a basis, derive a contradiction test and transform the conclusion for a geodesic while preserving neighborhood topology. [benchmark_id=logical_reasoning_115]"
116,logical_reasoning,"Given premises about a basis, derive a contradiction test and factorize the conclusion for a tensor under fixed token budget. [benchmark_id=logical_reasoning_116]"
117,logical_reasoning,"Given premises about a kernel, derive a contradiction test and align the conclusion for a polytope across two scales. [benchmark_id=logical_reasoning_117]"
118,logical_reasoning,"Given premises about a tensor, derive a contradiction test and align the conclusion for a projection under rotational invariance. [benchmark_id=logical_reasoning_118]"
119,logical_reasoning,"Given premises about a graph, derive a contradiction test and optimize the conclusion for a kernel with bounded curvature. [benchmark_id=logical_reasoning_119]"
120,logical_reasoning,"Given premises about a operator, derive a contradiction test and compare the conclusion for a manifold under rotational invariance. [benchmark_id=logical_reasoning_120]"
121,logical_reasoning,"Given premises about a coordinate frame, derive a contradiction test and stabilize the conclusion for a polytope with contrastive supervision. [benchmark_id=logical_reasoning_121]"
122,logical_reasoning,"Given premises about a tensor, derive a contradiction test and factorize the conclusion for a basis under fixed token budget. [benchmark_id=logical_reasoning_122]"
123,logical_reasoning,"Given premises about a kernel, derive a contradiction test and transform the conclusion for a basis with sparse observations. [benchmark_id=logical_reasoning_123]"
124,logical_reasoning,"Given premises about a operator, derive a contradiction test and normalize the conclusion for a latent map under rotational invariance. [benchmark_id=logical_reasoning_124]"
125,logical_reasoning,"Given premises about a distance matrix, derive a contradiction test and decompose the conclusion for a polytope with bounded curvature. [benchmark_id=logical_reasoning_125]"
126,logical_reasoning,"Given premises about a polytope, derive a contradiction test and stabilize the conclusion for a trajectory under noisy measurements. [benchmark_id=logical_reasoning_126]"
127,logical_reasoning,"Given premises about a distance matrix, derive a contradiction test and normalize the conclusion for a distance matrix while preserving neighborhood topology. [benchmark_id=logical_reasoning_127]"
128,logical_reasoning,"Given premises about a projection, derive a contradiction test and project the conclusion for a trajectory under noisy measurements. [benchmark_id=logical_reasoning_128]"
129,logical_reasoning,"Given premises about a graph, derive a contradiction test and align the conclusion for a basis with bounded curvature. [benchmark_id=logical_reasoning_129]"
130,logical_reasoning,"Given premises about a basis, derive a contradiction test and align the conclusion for a geodesic with bounded curvature. [benchmark_id=logical_reasoning_130]"
131,logical_reasoning,"Given premises about a polytope, derive a contradiction test and normalize the conclusion for a tensor across two scales. [benchmark_id=logical_reasoning_131]"
132,logical_reasoning,"Given premises about a distance matrix, derive a contradiction test and cluster the conclusion for a coordinate frame under noisy measurements. [benchmark_id=logical_reasoning_132]"
133,logical_reasoning,"Given premises about a basis, derive a contradiction test and optimize the conclusion for a distance matrix under fixed token budget. [benchmark_id=logical_reasoning_133]"
134,logical_reasoning,"Given premises about a kernel, derive a contradiction test and project the conclusion for a latent map under fixed token budget. [benchmark_id=logical_reasoning_134]"
135,logical_reasoning,"Given premises about a projection, derive a contradiction test and factorize the conclusion for a manifold across two scales. [benchmark_id=logical_reasoning_135]"
136,logical_reasoning,"Given premises about a basis, derive a contradiction test and decompose the conclusion for a kernel under noisy measurements. [benchmark_id=logical_reasoning_136]"
137,logical_reasoning,"Given premises about a trajectory, derive a contradiction test and decompose the conclusion for a geodesic while preserving neighborhood topology. [benchmark_id=logical_reasoning_137]"
138,logical_reasoning,"Given premises about a operator, derive a contradiction test and project the conclusion for a basis under noisy measurements. [benchmark_id=logical_reasoning_138]"
139,logical_reasoning,"Given premises about a graph, derive a contradiction test and factorize the conclusion for a vector field while preserving neighborhood topology. [benchmark_id=logical_reasoning_139]"
140,logical_reasoning,"Given premises about a coordinate frame, derive a contradiction test and normalize the conclusion for a projection with bounded curvature. [benchmark_id=logical_reasoning_140]"
141,logical_reasoning,"Given premises about a projection, derive a contradiction test and decompose the conclusion for a vector field under noisy measurements. [benchmark_id=logical_reasoning_141]"
142,logical_reasoning,"Given premises about a trajectory, derive a contradiction test and optimize the conclusion for a distance matrix under fixed token budget. [benchmark_id=logical_reasoning_142]"
143,logical_reasoning,"Given premises about a graph, derive a contradiction test and optimize the conclusion for a projection under fixed token budget. [benchmark_id=logical_reasoning_143]"
144,logical_reasoning,"Given premises about a vector field, derive a contradiction test and perturb the conclusion for a manifold with contrastive supervision. [benchmark_id=logical_reasoning_144]"
145,logical_reasoning,"Given premises about a manifold, derive a contradiction test and stabilize the conclusion for a kernel with contrastive supervision. [benchmark_id=logical_reasoning_145]"
146,logical_reasoning,"Given premises about a distance matrix, derive a contradiction test and cluster the conclusion for a tensor under fixed token budget. [benchmark_id=logical_reasoning_146]"
147,logical_reasoning,"Given premises about a projection, derive a contradiction test and project the conclusion for a basis across two scales. [benchmark_id=logical_reasoning_147]"
148,logical_reasoning,"Given premises about a geodesic, derive a contradiction test and stabilize the conclusion for a tensor with bounded curvature. [benchmark_id=logical_reasoning_148]"
149,logical_reasoning,"Given premises about a trajectory, derive a contradiction test and compare the conclusion for a projection with bounded curvature. [benchmark_id=logical_reasoning_149]"
150,logical_reasoning,"Given premises about a polytope, derive a contradiction test and interpolate the conclusion for a kernel with contrastive supervision. [benchmark_id=logical_reasoning_150]"
151,logical_reasoning,"Given premises about a distance matrix, derive a contradiction test and stabilize the conclusion for a tensor with bounded curvature. [benchmark_id=logical_reasoning_151]"
152,logical_reasoning,"Given premises about a vector field, derive a contradiction test and project the conclusion for a projection across two scales. [benchmark_id=logical_reasoning_152]"
153,logical_reasoning,"Given premises about a polytope, derive a contradiction test and cluster the conclusion for a latent map with bounded curvature. [benchmark_id=logical_reasoning_153]"
154,logical_reasoning,"Given premises about a basis, derive a contradiction test and compare the conclusion for a projection while preserving neighborhood topology. [benchmark_id=logical_reasoning_154]"
155,logical_reasoning,"Given premises about a coordinate frame, derive a contradiction test and project the conclusion for a geodesic across two scales. [benchmark_id=logical_reasoning_155]"
156,logical_reasoning,"Given premises about a polytope, derive a contradiction test and optimize the conclusion for a embedding with contrastive supervision. [benchmark_id=logical_reasoning_156]"
157,logical_reasoning,"Given premises about a kernel, derive a contradiction test and transform the conclusion for a manifold under noisy measurements. [benchmark_id=logical_reasoning_157]"
158,logical_reasoning,"Given premises about a coordinate frame, derive a contradiction test and compare the conclusion for a vector field with bounded curvature. [benchmark_id=logical_reasoning_158]"
159,logical_reasoning,"Given premises about a vector field, derive a contradiction test and optimize the conclusion for a kernel with contrastive supervision. [benchmark_id=logical_reasoning_159]"
160,logical_reasoning,"Given premises about a trajectory, derive a contradiction test and optimize the conclusion for a operator while preserving neighborhood topology. [benchmark_id=logical_reasoning_160]"
161,logical_reasoning,"Given premises about a coordinate frame, derive a contradiction test and decompose the conclusion for a manifold across two scales. [benchmark_id=logical_reasoning_161]"
162,logical_reasoning,"Given premises about a manifold, derive a contradiction test and factorize the conclusion for a tensor with contrastive supervision. [benchmark_id=logical_reasoning_162]"
163,logical_reasoning,"Given premises about a geodesic, derive a contradiction test and interpolate the conclusion for a coordinate frame under noisy measurements. [benchmark_id=logical_reasoning_163]"
164,logical_reasoning,"Given premises about a projection, derive a contradiction test and align the conclusion for a projection across two scales. [benchmark_id=logical_reasoning_164]"
165,logical_reasoning,"Given premises about a kernel, derive a contradiction test and cluster the conclusion for a polytope under noisy measurements. [benchmark_id=logical_reasoning_165]"
166,logical_reasoning,"Given premises about a kernel, derive a contradiction test and normalize the conclusion for a polytope across two scales. [benchmark_id=logical_reasoning_166]"
167,logical_reasoning,"Given premises about a latent map, derive a contradiction test and decompose the conclusion for a tensor under noisy measurements. [benchmark_id=logical_reasoning_167]"
168,logical_reasoning,"Given premises about a polytope, derive a contradiction test and stabilize the conclusion for a graph across two scales. [benchmark_id=logical_reasoning_168]"
169,logical_reasoning,"Given premises about a tensor, derive a contradiction test and transform the conclusion for a tensor with contrastive supervision. [benchmark_id=logical_reasoning_169]"
170,logical_reasoning,"Given premises about a basis, derive a contradiction test and decompose the conclusion for a trajectory with contrastive supervision. [benchmark_id=logical_reasoning_170]"
171,logical_reasoning,"Given premises about a vector field, derive a contradiction test and cluster the conclusion for a embedding under rotational invariance. [benchmark_id=logical_reasoning_171]"
172,logical_reasoning,"Given premises about a embedding, derive a contradiction test and optimize the conclusion for a coordinate frame with contrastive supervision. [benchmark_id=logical_reasoning_172]"
173,logical_reasoning,"Given premises about a vector field, derive a contradiction test and cluster the conclusion for a kernel with bounded curvature. [benchmark_id=logical_reasoning_173]"
174,logical_reasoning,"Given premises about a trajectory, derive a contradiction test and compare the conclusion for a latent map under noisy measurements. [benchmark_id=logical_reasoning_174]"
175,logical_reasoning,"Given premises about a vector field, derive a contradiction test and cluster the conclusion for a trajectory across two scales. [benchmark_id=logical_reasoning_175]"
176,logical_reasoning,"Given premises about a operator, derive a contradiction test and cluster the conclusion for a tensor with bounded curvature. [benchmark_id=logical_reasoning_176]"
177,logical_reasoning,"Given premises about a projection, derive a contradiction test and cluster the conclusion for a latent map with sparse observations. [benchmark_id=logical_reasoning_177]"
178,logical_reasoning,"Given premises about a latent map, derive a contradiction test and optimize the conclusion for a polytope across two scales. [benchmark_id=logical_reasoning_178]"
179,logical_reasoning,"Given premises about a embedding, derive a contradiction test and decompose the conclusion for a operator while preserving neighborhood topology. [benchmark_id=logical_reasoning_179]"
180,logical_reasoning,"Given premises about a coordinate frame, derive a contradiction test and compare the conclusion for a embedding with contrastive supervision. [benchmark_id=logical_reasoning_180]"
181,logical_reasoning,"Given premises about a graph, derive a contradiction test and factorize the conclusion for a projection with bounded curvature. [benchmark_id=logical_reasoning_181]"
182,logical_reasoning,"Given premises about a polytope, derive a contradiction test and compare the conclusion for a embedding while preserving neighborhood topology. [benchmark_id=logical_reasoning_182]"
183,logical_reasoning,"Given premises about a latent map, derive a contradiction test and optimize the conclusion for a manifold with sparse observations. [benchmark_id=logical_reasoning_183]"
184,logical_reasoning,"Given premises about a polytope, derive a contradiction test and stabilize the conclusion for a trajectory with contrastive supervision. [benchmark_id=logical_reasoning_184]"
185,logical_reasoning,"Given premises about a distance matrix, derive a contradiction test and cluster the conclusion for a coordinate frame across two scales. [benchmark_id=logical_reasoning_185]"
186,logical_reasoning,"Given premises about a latent map, derive a contradiction test and transform the conclusion for a manifold with bounded curvature. [benchmark_id=logical_reasoning_186]"
187,logical_reasoning,"Given premises about a embedding, derive a contradiction test and cluster the conclusion for a latent map with contrastive supervision. [benchmark_id=logical_reasoning_187]"
188,logical_reasoning,"Given premises about a tensor, derive a contradiction test and normalize the conclusion for a polytope under noisy measurements. [benchmark_id=logical_reasoning_188]"
189,logical_reasoning,"Given premises about a tensor, derive a contradiction test and align the conclusion for a projection with contrastive supervision. [benchmark_id=logical_reasoning_189]"
190,logical_reasoning,"Given premises about a projection, derive a contradiction test and decompose the conclusion for a coordinate frame with sparse observations. [benchmark_id=logical_reasoning_190]"
191,logical_reasoning,"Given premises about a distance matrix, derive a contradiction test and perturb the conclusion for a operator under rotational invariance. [benchmark_id=logical_reasoning_191]"
192,logical_reasoning,"Given premises about a tensor, derive a contradiction test and align the conclusion for a projection with bounded curvature. [benchmark_id=logical_reasoning_192]"
193,logical_reasoning,"Given premises about a polytope, derive a contradiction test and align the conclusion for a operator under noisy measurements. [benchmark_id=logical_reasoning_193]"
194,logical_reasoning,"Given premises about a graph, derive a contradiction test and cluster the conclusion for a embedding with sparse observations. [benchmark_id=logical_reasoning_194]"
195,logical_reasoning,"Given premises about a projection, derive a contradiction test and cluster the conclusion for a coordinate frame with sparse observations. [benchmark_id=logical_reasoning_195]"
